<UNK> 1.0	SPN
ĐẮP 1.0	DD AW PC
RUỘNG 1.0	R UO NGZ
VƯỜN 1.0	V WA NZ
TRÙ 1.0	TR U
TẮC 1.0	T AW KC
MÂU 1.0	M AA UZ
THUẪN 1.0	TH W AA NZ
LUI 1.0	L U IZ
CHÓNG 1.0	CH O NGZ
NHỊP 1.0	NH I PC
TIM 1.0	T I MZ
CỖ 1.0	K OO
NIÊN 1.0	N IE NZ
Á 1.0	A
NÍU 1.0	N I UZ
KHUYẾT 1.0	KH W IE TC
PHÁN 1.0	PH A NZ
TU 1.0	T U
QUI 1.0	K W I
LÉN 1.0	L E NZ
NHANH 1.0	NH A NGZ
ĐỖ 1.0	DD OO
THUẦN 1.0	TH W AA NZ
KÊNH 1.0	K EE NGZ
CHỤP 1.0	CH U PC
LY 1.0	L I
THIẾP 1.0	TH IE PC
KẸT 1.0	K E TC
LỠ 1.0	L OW
LIÊN 1.0	L IE NZ
KIỀU 1.0	K IE UZ
BÀO 1.0	B A UZ
KHAO 1.0	KH A UZ
LUÂN 1.0	L W AA NZ
NẢY 1.0	N A IZ
CU 1.0	K U
NGỪA 1.0	NG WA
THAI 1.0	TH A IZ
NỢ 1.0	N OW
CHỐNG 1.0	CH OO NGZ
ĐÁP 1.0	DD A PC
LẢI 1.0	L A IZ
NHẢI 1.0	NH A IZ
DÔNG 1.0	D OO NGZ
NHU 1.0	NH U
HOẢNG 1.0	H W A NGZ
CHẶN 1.0	CH AW NZ
ẤN 1.0	AA NZ
SÀO 1.0	S A UZ
ĐÀNH 1.0	DD A NGZ
MỌC 1.0	M O KC
NỌC 1.0	N O KC
RƯỢT 1.0	R WA TC
CHÌ 1.0	CH I
CHIẾT 1.0	CH IE TC
BƠI 1.0	B OW IZ
CỜ 1.0	K OW
LÍP 1.0	L I PC
VỖ 1.0	V OO
NGHIỆN 1.0	NG IE NZ
NGÓI 1.0	NG O IZ
CÀU 1.0	K A UZ
CẠU 1.0	K A UZ
ỬNG 1.0	UW NGZ
Ổ 1.0	OO
XUYÊN 1.0	S W IE NZ
KHÓA 1.0	KH W A
CHẶT 1.0	CH AW TC
PHÁI 1.0	PH A IZ
ĐÍCH 1.0	DD I KC
XOÈN 1.0	S W E NZ
XOẸT 1.0	S W E TC
KHỞI 1.0	KH OW IZ
LỌC 1.0	L O KC
DÙI 1.0	D U IZ
ĐỤC 1.0	DD U KC
THỢ 1.0	TH OW
NHÁY 1.0	NH A IZ
NGỤP 1.0	NG U PC
LEN 1.0	L E NZ
NGƯỢNG 1.0	NG WA NGZ
HUN 1.0	H U NZ
ĐÚC 1.0	DD U KC
THẦN 1.0	TH AA NZ
THÁP 1.0	TH A PC
THỬ 1.0	TH UW
BỨC 1.0	B UW KC
PHÀM 1.0	PH A MZ
ĐẠT 1.0	DD A TC
DẤU 1.0	D AA UZ
DUY 1.0	D W I
KHO 1.0	KH O
LÚA 1.0	L W A
DƯỜNG 1.0	D WA NGZ
TẸP 1.0	T E PC
NHẸP 1.0	NH E PC
ĐUỐC 1.0	DD UO KC
GIÃY 1.0	D A IZ
GIỤA 1.0	D W A
NGHÊU 1.0	NG EE UZ
NGAO 1.0	NG A UZ
ĐÁY 1.0	DD A IZ
SỢI 1.0	S OW IZ
BÚN 1.0	B U NZ
CUỘN 1.0	K UO NZ
CHÃO 1.0	CH A UZ
KHOANH 1.0	KH W A NGZ
TRÒN 1.0	TR O NZ
ĐÌU 1.0	DD I UZ
HIU 1.0	H I UZ
THỚT 1.0	TH OW TC
NGHIỆM 1.0	NG IE MZ
KHẢ 1.0	KH A
GHI 1.0	G I
ĐIỆU 1.0	DD IE UZ
TRÀNG 1.0	TR A NGZ
PHÁO 1.0	PH A UZ
TRỒ 1.0	TR OO
NGỚT 1.0	NG OW TC
LƯỚT 1.0	L WA TC
NHẸ 1.0	NH E
GUỘC 1.0	G UO KC
CHỮ 1.0	CH UW
DAO 1.0	D A UZ
HÍ 1.0	H I
HÚI 1.0	H U IZ
TÍ 1.0	T I
XÍU 1.0	S I UZ
NHÃO 1.0	NH A UZ
XẴNG 1.0	S AW NGZ
GIỌNG 1.0	D O NGZ
DÁC 1.0	D A KC
DÁO 1.0	D A UZ
BÚT 1.0	B U TC
DẰNG 1.0	D AW NGZ
DẶC 1.0	D AW KC
SUỐI 1.0	S UO IZ
SÀNG 1.0	S A NGZ
SẢY 1.0	S A IZ
THÓC 1.0	TH O KC
BÁ 1.0	B A
ĐỒI 1.0	DD OO IZ
TRỤY 1.0	TR W I
CẠM 1.0	K A MZ
HOẠI 1.0	H W A IZ
HUẤN 1.0	H W AA NZ
NHỔN 1.0	NH OO NZ
SÁC 1.0	S A KC
ĐẦM 1.0	DD AA MZ
LẦY 1.0	L AA IZ
TRÒNG 1.0	TR O NGZ
TRÀNH 1.0	TR A NGZ
NHÀO 1.0	NH A UZ
THÌA 1.0	TH IE
MUỖNG 1.0	M UO NGZ
GIÂY 1.0	D AA IZ
TRÁNG 1.0	TR A NGZ
NHỰA 1.0	NH WA
CẬY 1.0	K AA IZ
UY 1.0	W I
LÒ 1.0	L O
CHÔNG 1.0	CH OO NGZ
CHÊNH 1.0	CH EE NGZ
SƯỜN 1.0	S WA NZ
QUẠNH 1.0	K W A NGZ
BEN 1.0	B E NZ
NIÊU 1.0	N IE UZ
TÚ 1.0	T U
XƯƠNG 1.0	S WA NGZ
KÍCH 1.0	K I KC
MỌT 1.0	M O TC
SÚT 1.0	S U TC
ĐUÔI 1.0	DD UO IZ
CHỚ 1.0	CH OW
NHĂNG 1.0	NH AW NGZ
NHÍT 1.0	NH I TC
QUE 1.0	K W E
CỜI 1.0	K OW IZ
CÒNG 1.0	K O NGZ
NGÀI 1.0	NG A IZ
SĂN 1.0	S AW NZ
NŨNG 1.0	N U NGZ
NỊU 1.0	N I UZ
DÃY 1.0	D A IZ
BẦY 1.0	B AA IZ
RÌNH 1.0	R I NGZ
CHẮM 1.0	CH AW MZ
LÙNG 1.0	L U NGZ
SỤC 1.0	S U KC
CHỞ 1.0	CH OW
XẨY 1.0	S AA IZ
BỤI 1.0	B U IZ
GIẬT 1.0	D AA TC
ĐÂM 1.0	DD AA MZ
QUẬY 1.0	K W AA IZ
HUỲNH 1.0	H W I NGZ
PHƯỜNG 1.0	PH WA NGZ
LẾU 1.0	L EE UZ
HUỀ 1.0	H W EE
LỖ 1.0	L OO
MÃNG 1.0	M A NGZ
CHẦM 1.0	CH AA MZ
HOÀNG 1.0	H W A NGZ
HẠC 1.0	H A KC
LÂU 1.0	L AA UZ
MỆ 1.0	M EE
LẶP 1.0	L AW PC
TRƯNG 1.0	TR UW NGZ
ÍCH 1.0	I KC
HIÊN 1.0	H IE NZ
TẠ 1.0	T A
NGOÁI 1.0	NG W A IZ
SỄ 1.0	S EE
LẺ 1.0	L E
LIỆU 1.0	L IE UZ
NÀNH 1.0	N A NGZ
HẬU 1.0	H AA UZ
SÊN 1.0	S EE NZ
ẨN 1.0	AA NZ
ỒN 1.0	OO NZ
ÀO 1.0	A UZ
TỤI 1.0	T U IZ
LOẰNG 1.0	L W AW NGZ
NGOẰNG 1.0	NG W AW NGZ
VANG 1.0	V A NGZ
DỘI 1.0	D OO IZ
NHÕN 1.0	NH O NZ
ƯƠNG 1.0	WA NGZ
ĐẢNG 1.0	DD A NGZ
DANG 1.0	D A NGZ
HANG 1.0	H A NGZ
NGOẰN 1.0	NG W AW NZ
NGOÈO 1.0	NG W E UZ
HÃNG 1.0	H A NGZ
HỪNG 1.0	H UW NGZ
HỰC 1.0	H UW KC
VẼ 1.0	V E
PHÁC 1.0	PH A KC
CUỒNG 1.0	K UO NGZ
RỜ 1.0	R OW
TUA 1.0	T UO
HUYỄN 1.0	H W IE NZ
NGÔI 1.0	NG OO IZ
TOANH 1.0	T W A NGZ
TẮM 1.0	T AW MZ
HŨM 1.0	H U MZ
CẠN 1.0	K A NZ
DÁNG 1.0	D A NGZ
KHỈ 1.0	KH I
NGUỘI 1.0	NG UO IZ
GỚM 1.0	G OW MZ
DAI 1.0	D A IZ
NGOÁCH 1.0	NG W A KC
XẠO 1.0	S A UZ
THÂM 1.0	TH AA MZ
TÍM 1.0	T I MZ
CUNG 1.0	K U NGZ
MANH 1.0	M A NGZ
MỐI 1.0	M OO IZ
SÁNH 1.0	S A NGZ
CHÀ 1.0	CH A
GỒNG 1.0	G OO NGZ
DÍNH 1.0	D I NGZ
DĨA 1.0	D IE
VÂN 1.0	V AA NZ
ĐIÊN 1.0	DD IE NZ
RỚT 1.0	R OW TC
BÙI 1.0	B U IZ
NHÙI 1.0	NH U IZ
KỊP 1.0	K I PC
LỊNH 1.0	L I NGZ
QUẠCH 1.0	K W A KC
DƯỢC 1.0	D WA KC
VƯỢNG 1.0	V WA NGZ
ĐO 1.0	DD O
THẮT 1.0	TH AW TC
SIẾT 1.0	S IE TC
NGẤT 1.0	NG AA TC
XỈU 1.0	S I UZ
ỐM 1.0	OO MZ
CHÀO 1.0	CH A UZ
HÔ 1.0	H OO
HỐ 1.0	H OO
NHAY 1.0	NH A IZ
DÌ 1.0	D I
NGÁY 1.0	NG A IZ
GHẼ 1.0	G E
THỌT 1.0	TH O TC
LÉ 1.0	L E
TRẢO 1.0	TR A UZ
RÂM 1.0	R AA MZ
RAN 1.0	R A NZ
KHÉO 1.0	KH E UZ
LẰNG 1.0	L AW NGZ
NHẰNG 1.0	NH AW NGZ
KỆNH 1.0	K EE NGZ
LỜN 1.0	L OW NZ
LÒA 1.0	L W A
GIẢNH 1.0	D A NGZ
CẤY 1.0	K AA IZ
MƠ 1.0	M OW
ĐÀI 1.0	DD A IZ
PHẾT 1.0	PH EE TC
NHỈ 1.0	NH I
KIỀM 1.0	K IE MZ
CUA 1.0	K UO
RƯỚC 1.0	R WA KC
LỰA 1.0	L WA
NHOÁNG 1.0	NH W A NGZ
GÌN 1.0	D NZ
VÓC 1.0	V O KC
MÓP 1.0	M O PC
NHẬU 1.0	NH AA UZ
MẨY 1.0	M AA IZ
ĐỚN 1.0	DD OW NZ
DĨ 1.0	D I
MƠN 1.0	M OW NZ
MỞN 1.0	M OW NZ
VÓ 1.0	V O
BÈ 1.0	B E
RỦI 1.0	R U IZ
RO 1.0	R O
TRẠI 1.0	TR A IZ
GIAM 1.0	D A MZ
ĐỜN 1.0	DD OW NZ
TRỊNH 1.0	TR I NGZ
CHUÔNG 1.0	CH UO NGZ
REO 1.0	R E UZ
ĐÒN 1.0	DD O NZ
CHÙI 1.0	CH U IZ
KĨ 1.0	K I
LƯỠNG 1.0	L WA NGZ
DỐC 1.0	D OO KC
NGỜ 1.0	NG OW
NGỢ 1.0	NG OW
TỊ 1.0	T I
NẠNH 1.0	N A NGZ
TRỚN 1.0	TR OW NZ
Ủ 1.0	U
Ê 1.0	EE
ĐŨA 1.0	DD W A
VỈA 1.0	V IE
HÈ 1.0	H E
HUẾCH 1.0	H W EE KC
HOÁC 1.0	H W A KC
RÚT 1.0	R U TC
RỈA 1.0	R IE
LƯU 1.0	L UW UZ
TỆP 1.0	T EE PC
CỨNG 1.0	K UW NGZ
RẮN 1.0	R AW NZ
BỀ 1.0	B EE
NHẠY 1.0	NH A IZ
KHÔI 1.0	KH OO IZ
VỆ 1.0	V EE
CHẢ 1.0	CH A
BẢNH 1.0	B A NGZ
PHÁCH 1.0	PH A KC
ĐẠN 1.0	DD A NZ
HY 1.0	H I
GỠ 1.0	G OW
BUỘC 1.0	B UO KC
SÌ 1.0	S I
QUÁNH 1.0	K W A NGZ
LŨ 1.0	L U
QUẲNG 1.0	K W AW NGZ
THỀM 1.0	TH EE MZ
XOM 1.0	S O MZ
MÙN 1.0	M U NZ
ƠN 1.0	OW NZ
CỦI 1.0	K U IZ
NÉM 1.0	N E MZ
NHEN 1.0	NH E NZ
SƯỞI 1.0	S WA IZ
MIN 1.0	M I NZ
VIỄN 1.0	V IE NZ
THỌC 1.0	TH O KC
LÉC 1.0	L E KC
SÂN 1.0	S AA NZ
KHẤU 1.0	KH AA UZ
HUƠ 1.0	H W OW
VÚT 1.0	V U TC
KIỆN 1.0	K IE NZ
LỐC 1.0	L OO KC
KHẺ 1.0	KH E
THƯỚC 1.0	TH WA KC
DỚ 1.0	D OW
DẨN 1.0	D AA NZ
QUÁCH 1.0	K W A KC
NGHIỆT 1.0	NG IE TC
CHÈN 1.0	CH E NZ
GIÈM 1.0	D E MZ
KHINH 1.0	KH I NGZ
RÌ 1.0	R I
BIỀN 1.0	B IE NZ
NIU 1.0	N I UZ
TRÂN 1.0	TR AA NZ
THƯỠN 1.0	TH WA NZ
ĐIỂU 1.0	DD IE UZ
LOA 1.0	L W A
XIA 1.0	S IE
LẠC 1.0	L A KC
TRIỆU 1.0	TR IE UZ
GIŨ 1.0	D U
CONG 1.0	K O NGZ
NẸP 1.0	N E PC
MÀNG 1.0	M A NGZ
UỐN 1.0	UO NZ
LƯỢN 1.0	L WA NZ
CHÙA 1.0	CH W A
NGƠI 1.0	NG OW IZ
CỠ 1.0	K OW
TRÂM 1.0	TR AA MZ
SẴN 1.0	S AW NZ
LUYẾN 1.0	L W IE NZ
LÁY 1.0	L A IZ
BƠ 1.0	B OW
PHỜ 1.0	PH OW
ỐNG 1.0	OO NGZ
KHUỲNH 1.0	KH W I NGZ
KHÍU 1.0	KH I UZ
TOẠC 1.0	T W A KC
DỊU 1.0	D I UZ
MỎI 1.0	M O IZ
PHỌT 1.0	PH O TC
CÕI 1.0	K O IZ
GIẦY 1.0	D AA IZ
MÕM 1.0	M O MZ
NGÓE 1.0	NG W E
CHẬT 1.0	CH AA TC
GƯƠNG 1.0	G WA NGZ
ĐỐNG 1.0	DD OO NGZ
TƯỜM 1.0	T WA MZ
TƯỢP 1.0	T WA PC
NGHIỀN 1.0	NG IE NZ
CHANG 1.0	CH A NGZ
THÁM 1.0	TH A MZ
THIỆT 1.0	TH IE TC
HỖ 1.0	H OO
TRỢ 1.0	TR OW
VONG 1.0	V O NGZ
THÁNH 1.0	TH A NGZ
ỈM 1.0	I MZ
HOÀNH 1.0	H W A NGZ
HẠO 1.0	H A UZ
ĐỄNH 1.0	DD EE NGZ
CHEN 1.0	CH E NZ
BỆT 1.0	B EE TC
NÍCH 1.0	N I KC
NHẢY 1.0	NH A IZ
PHÓT 1.0	PH O TC
VỌT 1.0	V O TC
TRẤN 1.0	TR AA NZ
LẢNH 1.0	L A NGZ
NGÓ 1.0	NG O
THƯỢNG 1.0	TH WA NGZ
NGOÁO 1.0	NG W A UZ
ỘP 1.0	OO PC
LŨY 1.0	L W I
TRE 1.0	TR E
BÃI 1.0	B A IZ
CÚC 1.0	K U KC
ĐÓA 1.0	DD W A
CHẬU 1.0	CH AA UZ
SỸ 1.0	S I
DŨNG 1.0	D U NGZ
VỞ 1.0	V OW
KỊCH 1.0	K I KC
NHOE 1.0	NH W E
NHOÉT 1.0	NH W E TC
NÉN 1.0	N E NZ
TÉM 1.0	T E MZ
MÁN 1.0	M A NZ
MÒ 1.0	M O
CẢNG 1.0	K A NGZ
DANH 1.0	D A NGZ
PHU 1.0	PH U
XƯỚNG 1.0	S WA NGZ
TÙY 1.0	T W I
VẠC 1.0	V A KC
KÍN 1.0	K I NZ
HỞ 1.0	H OW
VÕ 1.0	V O
TUYỀN 1.0	T W IE NZ
NÊU 1.0	N EE UZ
LẠCH 1.0	L A KC
XẠCH 1.0	S A KC
LIÊU 1.0	L IE UZ
RÁI 1.0	R A IZ
HÓC 1.0	H O KC
LỞ 1.0	L OW
CHONG 1.0	CH O NGZ
XỐNG 1.0	S OO NGZ
ƯỚT 1.0	WA TC
THUYÊN 1.0	TH W IE NZ
MẠCH 1.0	M A KC
VÈO 1.0	V E UZ
TOAN 1.0	T W A NZ
RONG 1.0	R O NGZ
ĐONG 1.0	DD O NGZ
BANH 1.0	B A NGZ
CẬT 1.0	K AA TC
HỨNG 1.0	H UW NGZ
KHOÁN 1.0	KH W A NZ
CHUM 1.0	CH U MZ
LƯ 1.0	L UW
MUN 1.0	M U NZ
XUỒNG 1.0	S UO NGZ
SU 1.0	S U
KHÀNG 1.0	KH A NGZ
BUÔNG 1.0	B UO NGZ
LÁT 1.0	L A TC
ỒNG 1.0	OO NGZ
ỘC 1.0	OO KC
GEN 1.0	G E NZ
NI 1.0	N I
YÊN 1.0	IE NZ
BỌ 1.0	B O
TÀN 1.0	T A NZ
MAY 1.0	M A IZ
ĐÒI 1.0	DD O IZ
TÔ 1.0	T OO
XẮN 1.0	S AW NZ
MƯỚN 1.0	M WA NZ
BẸO 1.0	B E UZ
BẮP 1.0	B AW PC
HƯỚM 1.0	H WA MZ
PHẢ 1.0	PH A
THỞ 1.0	TH OW
NHỚP 1.0	NH OW PC
NHÚA 1.0	NH W A
DÂNG 1.0	D AA NGZ
NUỐT 1.0	N UO TC
CHỬNG 1.0	CH UW NGZ
BÍ 1.0	B I
DỌN 1.0	D O NZ
BẶM 1.0	B AW MZ
NHẢNH 1.0	NH A NGZ
NGÂY 1.0	NG AA IZ
NGÔ 1.0	NG OO
THẬN 1.0	TH AA NZ
DÓ 1.0	D O
CHEO 1.0	CH E UZ
HÙA 1.0	H W A
THOÁT 1.0	TH W A TC
LỆCH 1.0	L EE KC
TRỤC 1.0	TR U KC
TRÂU 1.0	TR AA UZ
BÁT 1.0	B A TC
NGÍA 1.0	NG IE
HÙN 1.0	H U NZ
CHƯỢC 1.0	CH WA KC
CÓC 1.0	K O KC
PHIÊU 1.0	PH IE UZ
NHÍCH 1.0	NH I KC
BỈ 1.0	B I
LƯỜI 1.0	L WA IZ
BIẾNG 1.0	B IE NGZ
ĐƠM 1.0	DD OW MZ
ĐUI 1.0	DD U IZ
THANG 1.0	TH A NGZ
THẢM 1.0	TH A MZ
LÙA 1.0	L W A
TÔM 1.0	T OO MZ
QUÈN 1.0	K W E NZ
HUYỆN 1.0	H W IE NZ
QUỲNH 1.0	K W I NGZ
GIẶN 1.0	D AW NZ
MUỒI 1.0	M UO IZ
PHÙNG 1.0	PH U NGZ
LỤC 1.0	L U KC
ĐẠC 1.0	DD A KC
LÓM 1.0	L O MZ
CANH 1.0	K A NGZ
NÊM 1.0	N EE MZ
MĂN 1.0	M AW NZ
MẲN 1.0	M AW NZ
CÁT 1.0	K A TC
ĐƯƠNG 1.0	DD WA NGZ
CỘT 1.0	K OO TC
THIỆN 1.0	TH IE NZ
RÀO 1.0	R A UZ
CẢN 1.0	K A NZ
CHỜ 1.0	CH OW
DỪA 1.0	D WA
DỌA 1.0	D W A
HỀ 1.0	H EE
KẸN 1.0	K E NZ
LỆ 1.0	L EE
QUỴT 1.0	K W I TC
NHẤN 1.0	NH AA NZ
TƯƠI 1.0	T WA IZ
TẮN 1.0	T AW NZ
THỤNG 1.0	TH U NGZ
THỊU 1.0	TH I UZ
VIÊM 1.0	V IE MZ
MÃN 1.0	M A NZ
LÙM 1.0	L U MZ
ĐẪM 1.0	DD AA MZ
ĐÌA 1.0	DD IE
TUÔN 1.0	T UO NZ
KỸ 1.0	K I
MẮNG 1.0	M AW NGZ
NƯ 1.0	N UW
LÃNG 1.0	L A NGZ
MẠN 1.0	M A NZ
LỎI 1.0	L O IZ
KHUÔN 1.0	KH UO NZ
NUA 1.0	N UO
SẠM 1.0	S A MZ
THÙY 1.0	TH W I
VẺ 1.0	V E
TRỪNG 1.0	TR UW NGZ
BIẾM 1.0	B IE MZ
MẮC 1.0	M AW KC
GẬT 1.0	G AA TC
GÙ 1.0	G U
BÁM 1.0	B A MZ
NHỨC 1.0	NH UW KC
NHỐI 1.0	NH OO IZ
MÓNG 1.0	M O NGZ
NHẨM 1.0	NH AA MZ
RÙA 1.0	R W A
SỌT 1.0	S O TC
GÁC 1.0	G A KC
BÕM 1.0	B O MZ
CÀY 1.0	K A IZ
NGHÊ 1.0	NG EE
NGẠT 1.0	NG A TC
XY 1.0	S I
HUYỀN 1.0	H W IE NZ
THÚT 1.0	TH U TC
NÁO 1.0	N A UZ
THÔN 1.0	TH OO NZ
MỐC 1.0	M OO KC
THẾCH 1.0	TH EE KC
ẨM 1.0	AA MZ
CHỀ 1.0	CH EE
TÁP 1.0	T A PC
CHẠN 1.0	CH A NZ
SỦI 1.0	S U IZ
BẸP 1.0	B E PC
XI 1.0	S I
DÀNG 1.0	D A NGZ
KHUA 1.0	KH UO
VỢI 1.0	V OW IZ
KHUY 1.0	KH W I
BẤM 1.0	B AA MZ
XÒNG 1.0	S O NGZ
BỜ 1.0	B OW
TRẬT 1.0	TR AA TC
RANH 1.0	R A NGZ
GỒ 1.0	G OO
GHỀ 1.0	G EE
TRÃ 1.0	TR A
KHUỶU 1.0	KH W I UZ
GỐI 1.0	G OO IZ
RAO 1.0	R A UZ
HẺM 1.0	H E MZ
HUẾ 1.0	H W EE
XÀI 1.0	S A IZ
XỂ 1.0	S EE
ĐÀNG 1.0	DD A NGZ
GIƠ 1.0	D OW
NÁCH 1.0	N A KC
HẸ 1.0	H E
GỜM 1.0	G OW MZ
NHẦY 1.0	NH AA IZ
NHỤA 1.0	NH W A
VŨNG 1.0	V U NGZ
ĐÒM 1.0	DD O MZ
TẢNG 1.0	T A NGZ
NO 1.0	N O
SÁO 1.0	S A UZ
MỘNG 1.0	M OO NGZ
TUYẾT 1.0	T W IE TC
ĐÙI 1.0	DD U IZ
NÔN 1.0	N OO NZ
NAO 1.0	N A UZ
MẬT 1.0	M AA TC
HOẠN 1.0	H W A NZ
SỖ 1.0	S OO
THỦY 1.0	TH W I
SIÊU 1.0	S IE UZ
QUẢY 1.0	K W A IZ
LÔ 1.0	L OO
NGŨ 1.0	NG U
TÒ 1.0	T O
NGẨM 1.0	NG AA MZ
NÍT 1.0	N I TC
QUẤN 1.0	K W AA NZ
QUÍT 1.0	K W I TC
DỤ 1.0	D U
HỦ 1.0	H U
NGÔN 1.0	NG OO NZ
CỬU 1.0	K UW UZ
PHỈ 1.0	PH I
TỨ 1.0	T UW
PHANH 1.0	PH A NGZ
THÂY 1.0	TH AA IZ
BIA 1.0	B IE
CỞI 1.0	K OW IZ
HÁI 1.0	H A IZ
CẨU 1.0	K AA UZ
TƠ 1.0	T OW
NIỆM 1.0	N IE MZ
VỨT 1.0	V UW TC
ĐAO 1.0	DD A UZ
ĐIA 1.0	DD IE
CỤT 1.0	K U TC
DẪU 1.0	D AA UZ
RỤNG 1.0	R U NGZ
TRỘM 1.0	TR OO MZ
VIẾNG 1.0	V IE NGZ
THĂM 1.0	TH AW MZ
NẤM 1.0	N AA MZ
GHÊ 1.0	G EE
CÀI 1.0	K A IZ
TỐN 1.0	T OO NZ
KIẾP 1.0	K IE PC
PHỔNG 1.0	PH OO NGZ
GIỰT 1.0	D UW TC
BẠC 1.0	B A KC
THOÁI 1.0	TH W A IZ
LẨU 1.0	L AA UZ
DÊ 1.0	D EE
NHOÀI 1.0	NH W A IZ
CHU 1.0	CH U
RẢI 1.0	R A IZ
TIA 1.0	T IE
CHAN 1.0	CH A NZ
RINH 1.0	R I NGZ
CHÉP 1.0	CH E PC
NGÒ 1.0	NG O
OM 1.0	O MZ
TIỄU 1.0	T IE UZ
LỀU 1.0	L EE UZ
BỀU 1.0	B EE UZ
GÒ 1.0	G O
LÉO 1.0	L E UZ
MỎNG 1.0	M O NGZ
TANG 1.0	T A NGZ
THÒ 1.0	TH O
NÔ 1.0	N OO
LĂN 1.0	L AW NZ
THỔ 1.0	TH OO
CẨM 1.0	K AA MZ
KHEO 1.0	KH E UZ
LAM 1.0	L A MZ
XỬA 1.0	S WA
NGỮ 1.0	NG UW
VỤT 1.0	V U TC
XÀ 1.0	S A
GANG 1.0	G A NGZ
TẤC 1.0	T AA KC
GANH 1.0	G A NGZ
NHẠT 1.0	NH A TC
XÁM 1.0	S A MZ
GÓA 1.0	G W A
BỤA 1.0	B W A
GIÒN 1.0	D O NZ
NHAI 1.0	NH A IZ
BONG 1.0	B O NGZ
VOI 1.0	V O IZ
TÉ 1.0	T E
NHẾCH 1.0	NH EE KC
MÉP 1.0	M E PC
TỦM 1.0	T U MZ
TỈM 1.0	T I MZ
MÓC 1.0	M O KC
SÃI 1.0	S A IZ
RÓT 1.0	R O TC
XUÊ 1.0	S W EE
XOA 1.0	S W A
RƯNG 1.0	R UW NGZ
TÁCH 1.0	T A KC
LẮC 1.0	L AW KC
CHỐI 1.0	CH OO IZ
KHẤP 1.0	KH AA PC
MỪNG 1.0	M UW NGZ
HÉ 1.0	H E
DÚM 1.0	D U MZ
ỦA 1.0	W A
TRUỒNG 1.0	TR UO NGZ
RẠO 1.0	R A UZ
GIÀY 1.0	D A IZ
GÓT 1.0	G O TC
TIỆN 1.0	T IE NZ
ĐAI 1.0	DD A IZ
MẤU 1.0	M AA UZ
CHỐT 1.0	CH OO TC
EO 1.0	E UZ
HẸP 1.0	H E PC
RỂ 1.0	R EE
XỌP 1.0	S O PC
ĐÈO 1.0	DD E UZ
GẤY 1.0	G AA IZ
MÈO 1.0	M E UZ
BƯƠI 1.0	B WA IZ
CHUYỀN 1.0	CH W IE NZ
NGOÉO 1.0	NG W E UZ
ƯA 1.0	WA
KHÙ 1.0	KH U
KHỜ 1.0	KH OW
XÊNH 1.0	S EE NGZ
XANG 1.0	S A NGZ
CHỆCH 1.0	CH EE KC
CHOẠC 1.0	CH W A KC
ẮT 1.0	AW TC
HAN 1.0	H A NZ
THỎ 1.0	TH O
RƠN 1.0	R OW NZ
HỐT 1.0	H OO TC
DIỆC 1.0	D IE KC
THỎA 1.0	TH W A
KHÓI 1.0	KH O IZ
NẰNG 1.0	N AW NGZ
NẶC 1.0	N AW KC
LÃO 1.0	L A UZ
NÂY 1.0	N AA IZ
VÒI 1.0	V O IZ
VÔI 1.0	V OO IZ
VỮA 1.0	V WA
TRÓC 1.0	TR O KC
LẢ 1.0	L A
MẬP 1.0	M AA PC
AU 1.0	A UZ
MẮM 1.0	M AW MZ
GIƯỚNG 1.0	D WA NGZ
Ợ 1.0	OW
QUẤT 1.0	K W AA TC
ROI 1.0	R O IZ
CỖI 1.0	K OO IZ
TRIÊNG 1.0	TR IE NGZ
RÚM 1.0	R U MZ
RÓ 1.0	R O
CỪU 1.0	K UW UZ
NON 1.0	N O NZ
SÓI 1.0	S O IZ
VÉ 1.0	V E
TRŨNG 1.0	TR U NGZ
HÚC 1.0	H U KC
NHÀU 1.0	NH A UZ
ROM 1.0	R O MZ
CUỒN 1.0	K UO NZ
ÁT 1.0	A TC
GIÁNG 1.0	D A NGZ
HẠ 1.0	H A
MIẾT 1.0	M IE TC
DÒ 1.0	D O
PHỀ 1.0	PH EE
PHỆ 1.0	PH EE
TEO 1.0	T E UZ
TÓP 1.0	T O PC
THOANG 1.0	TH W A NGZ
TRÀM 1.0	TR A MZ
BƠM 1.0	B OW MZ
BÍU 1.0	B I UZ
KHẮNG 1.0	KH AW NGZ
KHÍT 1.0	KH I TC
THIÊNG 1.0	TH IE NGZ
XONG 1.0	S O NGZ
O 1.0	O
SỤT 1.0	S U TC
MÁNG 1.0	M A NGZ
TỚN 1.0	T OW NZ
BỢN 1.0	B OW NZ
TỢ 1.0	T OW
LỢP 1.0	L OW PC
RUỒI 1.0	R UO IZ
NHẶNG 1.0	NH AW NGZ
QUẤY 1.0	K W AA IZ
NHIỄU 1.0	NH IE UZ
UỶ 1.0	W I
MẢI 1.0	M A IZ
MẪU 1.0	M AA UZ
BẤY 1.0	B AA IZ
VÉN 1.0	V E NZ
DẸP 1.0	D E PC
DỮ 1.0	D UW
SÁI 1.0	S A IZ
NẬM 1.0	N AA MZ
NHÙ 1.0	NH U
VẨN 1.0	V AA NZ
LẨN 1.0	L AA NZ
QUẨN 1.0	K W AA NZ
LÃNH 1.0	L A NGZ
MŨM 1.0	M U MZ
MĨM 1.0	M I MZ
XOÀI 1.0	S W A IZ
